0,408.005
1,392.909
2,369.833
3,364.479
4,355.27
5,347.522
6,331.076
7,328.291
8,310.391
9,295.849
10,290.285
11,282.143
12,277.723
13,286.905
14,284.143
15,286.149
16,310.894
17,310.724
18,312.297
19,313.257
20,315.823
21,321.072
22,302.174
23,334.033
24,334.257
25,334.273
26,329.988
27,326.244
28,339.286
29,352.073
30,358.613
31,361.887
32,365.879
33,364.764
34,365.809
35,373.285
36,368.071
37,368.133
38,368.445
39,370.955
40,373.793
41,379.028
42,389.215
43,391.435
44,390.878
45,387.983
46,367.265
47,367.782
48,363.83
49,364.208
50,363.794
51,364.103
52,392.204
53,396.313
54,399.287
55,404.134
56,407.446
57,413.661
58,421.651
59,421.079
60,436.514
61,458.197
62,520.471
63,520.471
64,520.471
65,520.471
66,520.471
67,520.471
68,520.471
69,520.471
70,533.396
71,492.21
72,440.04
73,427.008
74,395.366
75,365.962
76,341.027
77,318.641
78,304.742
79,297.825
80,295.074
81,296.503
82,300.839
83,302.471
84,303.6
85,304.402
86,307.128
87,322.276
88,320.695
89,319.278
90,316.5
91,319.096
92,321.933
93,320.47
94,327.931
95,327.374
96,323.273
97,319.675
98,332.048
99,337.178
100,339.14
