0,400.307,387.303,0.249779,307.161,
1,378.721,400.358,-3.38637,308.864,
2,381.855,406.273,10.2254,310.676,467.158,36.7859,99.2284,-21.4884,
3,380.533,398.992,16.5734,305.377,470.04,39.9997,104.931,-24.3788,
4,382.355,390.705,28.5196,298.578,469.89,39.6207,114.689,-23.0109,
5,369.591,385.758,24.5375,295.511,455.499,41.1991,109.049,-19.8895,
6,368.756,396.489,29.8325,314.146,437.852,71.4206,103.552,18.4727,
7,353.201,410.397,26.1932,336.478,422.772,83.0912,96.6183,31.4335,
8,390.244,102.056,80.6443,48.6736,324.111,413.184,23.2904,343.734,
9,361.806,111.205,64.5926,77.2066,314.225,411.622,24.7667,360.582,
10,347.926,109.885,56.7894,86.9931,311.357,407.709,23.0179,362.04,
11,321.281,100.346,597.656,119.017,296.068,388.536,578.121,398.385,
12,572.698,362,283.871,360.631,567.909,87.6093,298.426,82.9055,
13,564.327,345,279.67,343.941,554.039,50.3884,274.631,55.2655,
14,548.635,310.835,251.993,313.987,538.784,28.7155,256.8,38.5626,
15,541.351,286.962,246,291,536.422,4.62333,246,14.7651,
16,531.087,249.141,220.24,254.567,
17,526.644,240.218,216,247.283,
18,512.107,232.942,200,243.841,
19,490.272,227.705,177.206,238.637,
20,487.335,226.905,171.682,237.249,
21,476.47,214.187,155.699,228.087,
22,443.494,179.338,141.767,195.764,
23,189.799,95.9866,523.878,72.8804,219.852,439.486,551.869,392.824,
24,546.695,87.7344,214.645,106.022,569.756,417.522,238.454,446.507,
25,570.675,118.45,241.474,127.792,593.66,447.157,259.436,470.528,
26,598.799,146,272.796,147.95,615.588,466.361,290.972,494.762,
27,304.989,145.311,626.394,144,323.161,492.045,637.587,464.537,
28,334.694,131,-4.19932,147.466,353.016,480.603,12.9486,474.667,
29,373.337,105.106,41.1965,118.087,386.108,470.805,23.0435,464.468,
30,415.077,97.8341,55.2381,109.352,421.465,463.794,61.3152,457.507,
31,446,91.7492,79.2336,99.0939,446,461.606,85.3415,449.012,
32,478,94.8667,108,99.5864,478,468.411,108,449.02,
33,495.794,102.488,123,105.8,489.32,473.428,123,454.23,
34,511.517,111.561,137.768,107.014,498.771,476.563,131.541,463.739,
35,447.618,398.96,69.746,411,427.469,14.4853,57.2582,53.396,
36,605.518,37.6454,246.277,53.4875,624.805,405.657,259.467,431.204,
37,570.526,398.207,197.675,422.961,551.518,35.5097,184.816,54.7277,
38,559.629,401.16,186.62,423,540.678,39.5537,167.55,59.1085,
39,537.253,62.9667,163.248,71.8391,550.016,428.463,176.158,441.518,
40,536.057,91,158.101,101.622,542.54,462.41,171.153,475.379,
41,537.057,115,158.113,122.96,
42,547.15,245.861,157.994,252.653,
43,552.297,279.539,160.953,288,
44,548.974,313.829,158.099,315.349,
45,545.975,335.76,158.032,341.347,
46,546.637,365.87,162.182,364.838,534.07,6,168.446,6,
47,558.849,379.656,178.155,379.396,552.488,15.2235,184.4,21.6485,
48,582.982,392.235,205.021,389.659,576.694,32,217.511,32,
